WO = 545620

Sum_WSn = 452

Zp = 0

Zn = 213.8

_solve_time = 16544.2

solve_message =
'CPLEX 20.1.0.0: optimal integer solution within mipgap or absmipgap; objective -4520021325\
15679374 MIP simplex iterations\
18043 branch-and-bound nodes\
absmipgap = 6.05898, relmipgap = 1.34048e-09'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
4      0              0              0
5      0              0              0
6      2.27269e-12    0              0
7      0              0              0
8      0              0              0
9      0              0              0
10     0              0              0
11     0              0              0
12     0              0              0
13     0              0              0
14     0              0              0
15     0              0              0
16     0              0              0
17     0              0              0
18     0              0              0
19     0              0              0
20     0              0              0
21     0              0              0
22     0              0              0
23     0              0              0
24     0              0              0
25     0              0              0
26     0              0              0
27     0              0              0
28     0              0              0
29     0              0              0
30     0              0              0
31     0              0              0
32     0              0              0
33     0              0              0
34     0              0              0
35     0              0              0
36     0              0              0
37     0              0              0
38     0              0              0
39     0              0              0
40     0              0              0
41     0              0              0
42     0              0              0
43     0              0              0
44   213.8            0             48.8
45    94.7            2.95586e-12   94.7
;

